,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
128,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
129,-,"빅데이터/AI, 응용프로그램개발, QA/테스트/검증",무관,학력무관,-,-,-
130,-,빅데이터/AI,무관,학력무관,-,-,-
131,-,"빅데이터/AI, 웹개발",경력 (최소 12개월 이상),대졸(4년),-,-,-
132,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
133,-,"빅데이터/AI, ERP/시스템개발/설계",무관,박사,-,-,-
134,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
135,-,빅데이터/AI,무관,학력무관,-,-,-
136,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
137,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
138,-,빅데이터/AI,무관,학력무관,-,-,-
139,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
140,-,"빅데이터/AI, 응용프로그램개발",무관,학력무관,-,-,-
141,-,빅데이터/AI,경력 (최소 12개월 이상),학력무관,-,-,-
142,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,학력무관,-,-,-
143,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
144,-,빅데이터/AI,무관,학력무관,-,-,-
145,-,빅데이터/AI,무관,학력무관,-,-,-
146,-,빅데이터/AI,무관,학력무관,-,-,-
147,-,빅데이터/AI,무관,학력무관,-,-,-
148,-,빅데이터/AI,무관,학력무관,-,-,-
149,-,"빅데이터/AI, 상품기획/MD",무관,학력무관,-,-,-
150,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",경력 (최소 12개월 이상),대졸(4년),-,-,-
151,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
152,-,"빅데이터/AI, 설문/통계/리서치",경력 (최소 12개월 이상),학력무관,-,-,-
153,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
154,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
155,"백엔드개발자,프론트엔드개발자,필드엔지니어",-,무관,학력무관,-,-,-
156,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
157,-,"빅데이터/AI, 사무/총무/법무, 사무보조/문서작성, 웹개발, 응용프로그램개발",경력 (최소 12개월 이상),학력무관,-,-,-
158,-,빅데이터/AI,무관,학력무관,-,-,-
159,-,"빅데이터/AI, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
160,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
161,-,"빅데이터/AI, 웹기획/PM/웹마케팅, DBA/데이터베이스",무관,학력무관,-,-,-
162,-,빅데이터/AI,무관,석사,-,-,-
163,-,빅데이터/AI,무관,대졸(4년),-,-,-
164,-,"빅데이터/AI, ERP/시스템개발/설계",무관,학력무관,-,-,-
165,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,석사,-,-,-
166,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,석사,-,-,-
167,-,빅데이터/AI,무관,학력무관,-,-,-
168,-,빅데이터/AI,무관,대졸(4년),-,-,-
169,-,빅데이터/AI,무관,석사,-,-,-
170,-,"빅데이터/AI, 웹개발, 응용프로그램개발, QA/테스트/검증",무관,학력무관,-,-,-
171,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
172,-,빅데이터/AI,무관,학력무관,-,-,-
173,-,"빅데이터/AI, 웹기획/PM/웹마케팅",무관,대졸(4년),-,-,-
174,-,빅데이터/AI,무관,학력무관,-,-,-
175,"웹기획,마케팅기획,사무담당자,해외영업,IT·기술영업,영업관리",-,"신입, 경력 (연수무관)",대졸(2~3년),-,-,-
176,-,"네트워크/서버/보안, 빅데이터/AI, 설문/통계/리서치",무관,학력무관,-,-,-
177,-,"네트워크/서버/보안, 빅데이터/AI",무관,학력무관,-,-,-
178,-,"네트워크/서버/보안, 빅데이터/AI, 웹개발, 웹기획/PM/웹마케팅, 응용프로그램개발, 콘텐츠/사이트운영, DBA/데이터베이스, ERP/시스템개발/설계, HTML/퍼블리싱/UI개발, QA/테스트/검증",무관,학력무관,-,-,-
179,-,"네트워크/서버/보안, 빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
180,-,"네트워크/서버/보안, 빅데이터/AI, 웹개발",무관,학력무관,-,-,-
181,-,"기획/전략/경영, 빅데이터/AI, 상품기획/MD, 웹기획/PM/웹마케팅, DBA/데이터베이스",무관,학력무관,-,-,-
182,-,"경영분석/컨설턴트, 빅데이터/AI",무관,대졸(4년),-,-,-
183,-,"네트워크/서버/보안, 빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
184,-,"기획/전략/경영, 빅데이터/AI",무관,학력무관,-,-,-
185,-,"네트워크/서버/보안, 빅데이터/AI, 웹개발, DBA/데이터베이스",무관,학력무관,-,-,-
186,-,"네트워크/서버/보안, 빅데이터/AI, DBA/데이터베이스, ERP/시스템개발/설계",경력 (최소 12개월 이상),학력무관,-,-,-
187,-,"고객관리/인바운드, 빅데이터/AI",무관,학력무관,-,-,-
188,-,"네트워크/서버/보안, 빅데이터/AI",무관,학력무관,-,-,-
189,-,"네트워크/서버/보안, 빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
190,-,"건축/설계/인테리어, 빅데이터/AI, 사무/총무/법무, 생산관리/공정관리/품질관리, 자동차/조선/기계, 전기/전자/제어, 토목/조경/도시/측량, 화학/에너지/환경",무관,대졸(4년),-,-,-
191,-,"기계설계/CAD/CAM, 빅데이터/AI, 웹개발, 응용프로그램개발",무관,대졸(4년),-,-,-
192,-,"교육기획/교재, 빅데이터/AI, 응용프로그램개발",무관,대졸(4년),-,-,-
193,-,"네트워크/서버/보안, 빅데이터/AI, DBA/데이터베이스, ERP/시스템개발/설계",무관,대졸(4년),-,-,-
194,-,"마케팅/PR/분석, 빅데이터/AI",무관,학력무관,-,-,-
195,-,"바이오/제약/식품, 빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
196,-,"기획/전략/경영, 네트워크/서버/보안, 빅데이터/AI",무관,학력무관,-,-,-
197,-,"기획/전략/경영, 바이오/제약/식품, 빅데이터/AI, 사무/총무/법무, 생산/제조/설비/조립, 웹기획/PM/웹마케팅, 응용프로그램개발, QA/테스트/검증",무관,대졸(4년),-,-,-
198,"웹기획,서비스기획·운영","[주요업무] • AI 서비스의 S/W 개발과 관련된 프로젝트 기획 및 수행관리 • RFP 분석부터 제안전략 수립 및 제안서 작성, 최종검토까지 제안업무 총괄관리(제안 총괄 PM) • RFP분석을 통해 사업에서 요구되는 핵심내용 파악 및 제안서 기획 • IT부문 제안서/요약서/발표자료 작성 ​[자격요건] • 학력: 대졸이상 • 전공: 자연계열, 공학계열 등 이공계 학사학위 취득자 [필수요건 및 우대 사항] [필수요건] A-1) 소프트웨어 개발 경험 있는 사람(3년 이상) A-2) 프로그래머와 원활한 커뮤니케이션이 가능한 사람 A-3) 사업 연구기획/수행 경력 3년 이상 A-4) 기술적, 비즈니스적 프로그램/프로젝트 관리 경험 보유자 ​ ​[우대사항] B-1) PMP 또는 ITIL 등 프로젝트 관리 자격증을 취득 또는 교육 수료자 B-2) 컴퓨터 활용능력, 문서 작성, PPT자료 작성 우수자 B-3) 긍정적, 발전적인 협업이 가능한 사람 B-4) UML(unified modeling language)과 같은 도구를 이용하여 시스템 모델링 기반 기획이 가능한 자​",경력 (최소 3년 이상),대졸(4년),-,-,-
199,-,ㆍ 정형/비정형 문서의 인식 모델 개발 ㆍ AI 엔진 성능 향상을 위한 딥러닝 모델 개발 ㆍ 딥러닝 모델 serving을 위한 변환 및 최적화 ㆍ 모델 성능 개선 및 관리,경력 (최소 5년 이상),학력무관,-,-,-
